Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.88284496932996,1.85095503067003,0.309175559526838,0,0,0,6392.72345679221,19006.406479851,1.48153409205086E-12,1.28231258095594E-14,19571.3220769784,7.58361406688969E-13,35531.7411278062,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/base_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/base_link.STL,,Part3-1;Part3-2;Part3-4;Part3-3;Part11-1,Coordinate System3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fixed_link1,-1.905,1.8923,-0.010583,0,0,0,463.57,0.77054,8.2472E-16,1.2028E-15,560.97,2.5532E-16,561.34,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/fixed_link1.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/fixed_link1.STL,,Part2-1;Part2-2,Coordinate System4,,fixed_joint1,fixed,0.0635,0,3.9116,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_1,-0.0508,1.8923,0.075863,0,0,0,194.18,237.59,4.0628E-16,-5.0688E-17,0.381,6.5722E-14,237.48,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_1.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_1.STL,,Part1-2,Coordinate System4,Axis1,joint_1,prismatic,0,0,0,0,0,0,fixed_link1,-1,0,0,100,0.2,0,3.5,,,,,,,,
link_2,-8.8551E-13,8.8818E-16,0.035634,0,0,0,199.99,6.1138,1.272E-16,-2.7041E-15,12.79,-1.1492E-16,7.2159,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_2.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_2.STL,,Part4-1,Coordinate System10,Axis2,joint_2,prismatic,-0.0508,0.2286,-0.1143,0,0,0,link_1,0,1,0,100,0.2,0,3.5,,,,,,,,
link_3,-1.5267E-08,-0.0016358,0.0016357,0,0,0,9.0548,0.1125,-3.4293E-06,-3.4131E-06,0.086144,-0.0012255,0.086144,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_3.STL,,Part5_trolley-1;Part7_rope1-1;Part6_around_trolley-1,Coordinate System11,Axis3,joint_3,revolute,0,0,-0.0762,0,0,0,link_2,1,0,0,100,0.2,0,3.5,,,,,,,,
link_4,-9.0594E-13,-1.7097E-14,-0.254,0,0,0,0.57079,0.012341,8.6397E-09,3.1246E-17,0.012341,5.5596E-18,0.00012997,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_4.STL,,Part7_rope2-1,Coordinate System12,Axis4,joint_4,fixed,0,0.1143,-0.0762,0,0,0,link_2,0,0,1,100,0.2,0,3.5,,,,,,,,
link_5,-8.8152E-13,1.9318E-14,-0.42631,0,0,0,1.3087,0.028066,8.6397E-09,3.2915E-17,0.014387,6.5619E-18,0.017451,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_5.STL,,Part7_rope2-2;Grep_Assem1_scaled-1/Partf_scaled-1;Grep_Assem1_scaled-1/Part_a_scaled-1;Grep_Assem1_scaled-1/Part_b_scaled-1,Coordinate System12,Axis4,joint_5,prismatic,0,0.1143,-0.0762,0,0,0,link_2,0,0,-1,100,0.2,0,3.5,,,,,,,,
link_6,-8.9532E-08,-1.0549E-06,6.3524E-07,0,0,0,0.25644,0.0055252,-9.0425E-09,3.8739E-09,2.0606E-05,-2.1639E-09,0.0055252,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_6.STL,,Grep_Assem1_scaled-1/Part_d_scaled-1,Coordinate System13,Axis5,joint-6,revolute,0,0,-0.5715,0,0,0,link_5,0,1,0,100,0.2,0,10,,,,,,,,
link_7,-2.6645E-13,0.02024,-0.10869,0,0,0,1.2098,0.0067024,1.038E-20,-1.1358E-18,0.0081115,0.00016654,0.0018511,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_7.STL,0.58824,0.58824,0.63137,1,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_7.STL,,Grep_Assem1_scaled-1/Part_c_scaled-2,Coordinate System14,Axis5,joint_7,prismatic,0,-0.24703,-0.5715,0,0,0,link_5,0,1,0,100,0.2,0,3,,,,,,,,
link_8,-1.7764E-13,-0.02024,-0.10869,0,0,0,1.2098,0.0067024,-2.4E-20,-2.9035E-18,0.00804,-0.00016654,0.0017796,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_8.STL,0.58824,0.58824,0.63137,1,0,0,0,0,0,0,package://solidworks2ros_try18/meshes/link_8.STL,,Grep_Assem1_scaled-1/Part_c - Copy_scaled-1,Coordinate System15,Axis5,joint_8,prismatic,0,0.24703,-0.5715,0,0,0,link_5,0,-1,0,100,0.2,0,3,,,,,,,,
